Datetime,Open,High,Low,Close
2001-02-22 15:20,0.5242,0.5242,0.5242,0.5242
2001-02-23 19:14,0.5265,0.5265,0.5265,0.5265
2001-03-16 09:30,0.4943,0.4943,0.4943,0.4943
2001-03-16 09:32,0.496,0.497,0.496,0.497
2001-03-21 13:11,0.4935,0.4935,0.4935,0.4935
2001-03-21 13:12,0.4939,0.4941,0.4936,0.494
2001-03-23 21:58,0.493,0.4931,0.4928,0.4929
2001-03-23 22:00,0.493,0.4931,0.4929,0.493
2001-03-23 22:01,0.4929,0.4933,0.4929,0.4933
2001-03-23 22:02,0.4932,0.4932,0.4929,0.4929
2001-03-23 22:04,0.4928,0.4928,0.4928,0.4928
2001-03-23 22:05,0.4929,0.4929,0.4929,0.4929
2001-03-23 22:07,0.4929,0.4929,0.4929,0.4929
2001-03-23 22:08,0.493,0.4933,0.493,0.4933
2001-03-23 22:09,0.4934,0.4937,0.4929,0.4931
2001-03-23 22:11,0.4931,0.4939,0.4929,0.4929
2001-03-23 22:12,0.4928,0.4931,0.4926,0.4927
2001-03-23 22:13,0.4928,0.4933,0.4927,0.4929
2001-03-25 10:19,0.4929,0.4929,0.4929,0.4929
2001-03-30 20:27,0.4901,0.4901,0.4901,0.4901
2001-04-22 10:25,0.5185,0.5185,0.5185,0.5185
2001-04-27 15:08,0.5097,0.5097,0.5097,0.5097
2001-05-07 20:50,0.518,0.5181,0.518,0.518
2001-05-07 20:51,0.5181,0.5181,0.5181,0.5181
2001-05-07 20:52,0.518,0.5181,0.518,0.5181
2001-05-18 16:17,0.5302,0.5302,0.5301,0.5301
2001-05-18 16:19,0.5302,0.5302,0.53,0.53
2001-05-18 16:20,0.5299,0.5299,0.5299,0.5299
2001-05-22 08:18,0.5237,0.5237,0.5236,0.5236
2001-05-22 08:19,0.5237,0.5238,0.5237,0.5238
2001-05-22 08:20,0.5237,0.5237,0.5233,0.5233
2001-05-22 08:21,0.5234,0.5236,0.5233,0.5235
2001-05-22 08:22,0.5236,0.5236,0.5236,0.5236
2001-05-22 08:23,0.5237,0.5239,0.5233,0.5233
2001-05-22 08:24,0.5234,0.5234,0.5234,0.5234
2001-05-22 08:25,0.5235,0.5235,0.5235,0.5235
2001-05-22 08:27,0.5236,0.5236,0.5235,0.5235
2001-05-22 08:28,0.5236,0.5238,0.5236,0.5237
2001-05-22 08:30,0.5238,0.5238,0.5236,0.5236
2001-05-22 08:31,0.5235,0.5236,0.5235,0.5236
2001-05-22 08:32,0.5235,0.5235,0.5235,0.5235
2001-05-22 08:33,0.5236,0.5236,0.5235,0.5235
2001-05-22 08:34,0.5236,0.5237,0.5236,0.5237
2001-05-22 08:35,0.5236,0.5237,0.5236,0.5237
2001-05-22 08:36,0.5236,0.5236,0.5236,0.5236
2001-05-22 08:37,0.5237,0.5238,0.5237,0.5238
2001-05-22 08:38,0.5239,0.5239,0.5239,0.5239
2001-05-22 08:40,0.5238,0.5238,0.5238,0.5238
2001-05-22 08:41,0.5239,0.524,0.5239,0.5239
